week_end_sunday,survey_type_days,product_name,sku,ytd_nps,ytd_responses,last_5_weeks_nps,last_5_weeks_responses,nps,responses_count
2026-06-28,10,Signature Cozy,CZ,80.0,5,100.0,3,100.0,3
2026-06-28,40,Sugar Dew,SD,100.0,3,100.0,1,100.0,1
2026-06-28,10,Desert Poppy,DP,33.33,3,100.0,2,100.0,2
2026-06-28,10,Vanilla Moon,VM,0.0,4,100.0,1,100.0,1
2026-07-05,40,Alpine Woods,AW,75.0,4,0.0,1,100.0,3
2026-06-28,40,Central Coast,CC,100.0,4,100.0,2,100.0,2
2026-07-05,40,Hollywood Rouge,HR,100.0,1,,0,100.0,1
2026-06-28,10,Alpine Woods,AW,60.0,5,100.0,3,100.0,3
2026-07-05,40,Desert Poppy,DP,100.0,2,,0,100.0,2
2026-07-05,40,Sugar Dew,SD,100.0,3,100.0,1,100.0,2
2026-06-28,40,Signature Cozy,CZ,71.43,7,100.0,1,100.0,1
2026-07-05,40,Central Coast,CC,100.0,4,100.0,2,100.0,2
2026-06-28,10,Central Coast,CC,57.14,7,80.0,5,80.0,5
2026-07-05,40,Signature Cozy,CZ,71.43,7,100.0,1,66.67,6
2026-06-28,40,Vanilla Moon,VM,25.0,4,50.0,2,50.0,2
2026-07-05,10,Signature Cozy,CZ,80.0,5,100.0,3,50.0,2
2026-06-28,40,Golden Hour,GH,33.33,3,33.33,3,33.33,3
2026-06-28,10,Golden Hour,GH,0.0,9,16.67,6,16.67,6
2026-07-05,10,Sugar Dew,SD,0.0,1,,0,0.0,1
2026-06-28,40,Alpine Woods,AW,75.0,4,0.0,1,0.0,1
2026-07-05,40,Vanilla Moon,VM,25.0,4,50.0,2,0.0,2
2026-07-05,10,Alpine Woods,AW,60.0,5,100.0,3,0.0,2
2026-07-05,10,Central Coast,CC,57.14,7,80.0,5,0.0,2
2026-07-05,10,Vanilla Moon,VM,0.0,4,100.0,1,-33.33,3
2026-07-05,10,Golden Hour,GH,0.0,9,16.67,6,-33.33,3
2026-07-05,10,Malibu Mornings,MM,-100.0,1,,0,-100.0,1
2026-07-05,10,Desert Poppy,DP,33.33,3,100.0,2,-100.0,1
